Titre,Resume,Date,Url,Website,politique,géopolitique,sociologique,démographie,économie micro,économie macro,science,technologie,innovation,responsabilité,entreprise,Environnement,France,Europe,International,Monde,Industrie,Marque et enseigne,Services,Energie,Construction,Utilities,Mobilité
"Avant le Black Friday, halte aux faux semblants","L'article met en garde contre les faux-semblants du Black Friday et souligne que l'ONU intègre désormais les dommages collatéraux des importations dans le classement des États. Il mentionne également la boutique en ligne chinoise Shein, connue pour sa fast fashion à bas prix, qui va à l'encontre d'une économie circulaire. L'article souligne l'incitation à la surconsommation et l'angoisse de rater les bonnes affaires lors de cet événement.",2023-11-01,https://www.lepoint.fr/invites-du-point/avant-le-black-friday-halte-aux-faux-semblants-01-11-2023-2541583_420.php,Le Point,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Rémissions à deux ou trois voix,"Le pianiste Evgeny Kissin a révélé une facette méconnue de son talent en récitant des poésies yiddish lors du Mosaic Music Festival sur la Côte d'Azur. L'événement, organisé dans la villa Ephrussi, a permis à un public restreint de découvrir cette performance intimiste. Cette initiative, soutenue par le Svetlanov Legacy Charity et le Concours Svetlanov, a été saluée par les spectateurs présents.",2023-11-01,https://www.lepoint.fr/invites-du-point/remissions-a-deux-ou-trois-voix-01-11-2023-2541600_420.php,Le Point,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Foot français : il est urgent de mettre fin à la spirale de la violence,"Le football français est confronté à une spirale de violence qui doit être stoppée. Les récents incidents, tels que le caillassage du bus de l'Olympique lyonnais par des supporters marseillais, ne sont que la partie visible de l'iceberg. Ces actes de violence mettent en danger la sécurité des joueurs et des arbitres, et créent un climat de terreur. Il est urgent que les dirigeants prennent des mesures pour mettre fin à cette situation.",2023-11-05,https://www.lepoint.fr/invites-du-point/foot-francais-il-est-urgent-de-mettre-fin-a-la-spirale-de-la-violence-05-11-2023-2541994_420.php,Le Point,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
"La guerre, hélas","L'artiste américain David Levinthal présente une série de photographies revisitant les horreurs de la guerre du Vietnam. Utilisant des soldats en miniature, il capture des scènes de soldats en action, évoquant la violence et la tragédie de la guerre. Ces images seront publiées dans un livre prochainement. Levinthal est connu pour son travail sur des sujets tels que les poupées Barbie et les scènes de la vie américaine.",2023-11-02,https://www.lepoint.fr/editos-du-point/la-guerre-helas-02-11-2023-2541648_32.php,Le Point,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non
"Loi immigration, procès de Trump, prix Goncourt : à la une de la semaine","Le Sénat commence l'examen du projet de loi sur l'immigration porté par Gérald Darmanin et Olivier Dussopt. L'article 3, qui prévoit la création d'un titre de séjour pour les métiers en tension, sera au centre des discussions. Le ministre de l'Intérieur assure être opposé à un possible recours à l'article 49.3 et affirme qu'il existe une voie de passage pour que la loi soit adoptée. Par ailleurs, cette semaine sera marquée par le procès de Nicolas Sarkozy, la remise de plusieurs prix littéraires et gastronomiques, ainsi que la Journée nationale de lutte contre le harcèlement à l'école.",2023-11-05,https://www.lepoint.fr/societe/loi-immigration-proces-de-trump-prix-goncourt-a-la-une-de-la-semaine-05-11-2023-2542037_23.php,Le Point,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non
Gastronomie : pourquoi plus de 3 000 chefs s'engagent à ne plus servir d'anguille,"Plus de 3 000 chefs, dont Thierry Marx et Mauro Colagreco, ont décidé de ne plus servir d'anguille, un poisson en danger d'extinction. Cette initiative, lancée par l'association Ethic Ocean, vise à sensibiliser sur la nécessité de préserver cette espèce. En effet, l'Union internationale de conservation de la nature a classé l'anguille en ""danger critique d'extinction"". Sa pêche n'est pourtant pas régulée, contrairement à d'autres espèces commerciales. La surpêche, les barrages et la pollution de l'eau sont autant de facteurs qui menacent la survie de l'anguille.",2023-11-05,https://www.lepoint.fr/societe/gastronomie-pourquoi-plus-de-3-000-chefs-s-engagent-a-ne-plus-servir-d-anguille-05-11-2023-2542031_23.php,Le Point,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Val d'Oise : un couple interpellé pour avoir tagué des croix gammées,Un couple de 20 ans a été interpellé dans le Val-d'Oise pour avoir tagué des croix gammées dans un skatepark. Les caméras de surveillance ont permis d'identifier les suspects et leur véhicule. Ils ont affirmé ne pas connaître la signification de ces symboles et ont prétendu avoir agi en réponse à un défi. Un mineur de 15 ans qui était avec eux a également été arrêté. Les actes antisémites se multiplient en France depuis le début du conflit entre le Hamas et Israël.,2023-11-05,https://www.lepoint.fr/societe/val-d-oise-un-couple-interpelle-pour-avoir-tague-des-croix-gammees-05-11-2023-2542027_23.php,Le Point,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
"Actes antisémites : les Juifs d'Europe vivent dans la peur, déclare la Commission européenne","La Commission européenne condamne la résurgence des actes antisémites en Europe, déclarant que ""les Juifs d'Europe vivent dans la peur"". Selon l'exécutif européen, cette recrudescence atteint des niveaux exceptionnellement élevés, rappelant les périodes les plus sombres de l'Histoire. Des agressions, des tags antisémites, des manifestations et des profanations ont été signalés dans plusieurs pays européens. La Commission appelle à lutter contre cette montée de l'antisémitisme, ainsi que contre la haine anti-musulmans. Elle souligne également l'importance de faire respecter le droit de l'UE criminalisant l'incitation à la haine et à la violence.",2023-11-05,https://www.lepoint.fr/societe/actes-antisemites-les-juifs-d-europe-vivent-dans-la-peur-declare-la-commission-europeenne-05-11-2023-2542013_23.php,Le Point,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
257 actes antisémites recensés à Paris depuis le début du conflit,"Depuis le début du conflit entre le Hamas et Israël, 257 actes antisémites ont été recensés à Paris, selon le préfet de police Laurent Nuñez. Près de 90 personnes ont été interpellées pour ces actes, allant des insultes aux violences. Jusqu'à 250 étoiles de David ont été apposées sur des immeubles, dans une action coordonnée impliquant une équipe d'auteurs. Seulement 124 plaintes ont été déposées jusqu'à présent. Au niveau national, 857 actes antisémites ont été recensés depuis le début du conflit.",2023-11-05,https://www.lepoint.fr/societe/guerre-hamas-israel-257-actes-antisemites-recenses-a-paris-depuis-le-debut-du-conflit-05-11-2023-2542004_23.php,Le Point,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Dans l'intérêt de l'enfant : comment les bébés sont accueillis en prison,"En France, les femmes détenues ont le droit d'accoucher en prison et de vivre avec leur enfant jusqu'à ses 18 mois. Cependant, les conditions d'accueil varient d'une prison à l'autre. À Fleury-Mérogis, la plus grande maison d'arrêt d'Europe, une nurserie a été aménagée pour accueillir les bébés. Cependant, certains s'interrogent sur la pertinence de cette mesure, considérant qu'elle peut avoir des conséquences néfastes sur le développement des enfants.",2023-11-05,https://www.lepoint.fr/societe/dans-l-interet-de-l-enfant-comment-les-bebes-sont-accueillis-en-prison-05-11-2023-2542001_23.php,Le Point,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Attaque à l'arme blanche croix gammée : ce que l'on sait de l'agression d'une femme juive à Lyon,"Une femme juive a été poignardée à son domicile à Lyon, et une croix gammée a été retrouvée sur sa porte. Une enquête a été ouverte pour ""tentative de meurtre"" et le parquet envisage un acte antisémite. La victime, âgée de 30 ans, a été attaquée par un individu vêtu de sombre qui a pris la fuite après l'agression. Selon son avocat, la jeune femme ne connaissait pas son agresseur. Elle a été hospitalisée mais a depuis quitté l'hôpital.",2023-11-05,https://www.lepoint.fr/societe/attaque-a-l-arme-blanche-croix-gammee-ce-que-l-on-sait-de-l-agression-d-une-femme-juive-a-lyon-05-11-2023-2541999_23.php,Le Point,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
"Tempête Domingos : vents violents, chutes d'arbres, les images de la dépression",La tempête Domingos a frappé la façade atlantique avec des rafales de vent dépassant parfois les 150 km/h. Des coupures d'électricité ont été signalées et dix départements sont en alerte orange. Cette nouvelle dépression complique les réparations du réseau électrique déjà endommagé par la tempête Ciaran. Les sols gorgés d'eau et les infrastructures fragilisées par le vent suscitent des craintes de nouveaux dégâts. Des chutes d'arbres ont été signalées sur les routes et des retards importants ont été enregistrés sur le réseau ferroviaire. Au moins 19 personnes ont perdu la vie en Europe à cause de la tempête.,2023-11-05,https://www.lepoint.fr/societe/tempete-domingos-vents-violents-chutes-d-arbres-les-images-de-la-depression-05-11-2023-2541998_23.php,Le Point,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Montée de l'antisémitisme en Corse : 'On n'a pas peur d'être juifs',"En Corse, la montée de l'antisémitisme en France ne semble pas affecter la communauté juive de l'île. Contrairement au continent, où les actes antisémites se multiplient, les juifs en Corse se sentent en sécurité. Cette sérénité s'explique en partie par l'histoire de l'île, qui n'a pas déporté de juifs pendant la Seconde Guerre mondiale. Certains juifs français envisagent même de s'installer en Corse, considérée comme une ""terre promise"". La tolérance et l'accueil de la population corse contribuent à cette atmosphère paisible. (80 mots)",2023-11-05,https://www.lepoint.fr/societe/montee-de-l-antisemitisme-en-corse-on-n-a-pas-peur-d-etre-juifs-05-11-2023-2541993_23.php,Le Point,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Procès Dupond-Moretti : l'État de droit face au conflit d'intérêts,"Le procès d'Éric Dupond-Moretti, ministre de la Justice, accusé de prise illégale d'intérêts, s'ouvre devant la Cour de justice de la République. Les syndicats de magistrats à l'origine des poursuites souhaitent que le droit soit respecté et que les principes de l'État de droit soient maintenus. Ils reprochent au ministre d'avoir utilisé ses prérogatives pour régler ses comptes avec des magistrats. Les plaignants ne pourront pas se constituer partie civile, mais seront entendus comme témoins. Le procès est historique et suscite de vives réactions.",2023-11-05,https://www.lepoint.fr/societe/proces-dupond-moretti-l-etat-de-droit-face-au-conflit-d-interets-05-11-2023-2541976_23.php,Le Point,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Tempête Ciaran : un salarié d'Enedis est décédé en Bretagne,Un salarié d'Enedis est décédé en Bretagne suite au passage de la tempête Ciaran. L'entreprise a annoncé que le salarié faisait partie de la Force d'intervention rapide de l'électricité (FIRE) et était mobilisé à Pont-Aven. Les circonstances exactes de l'accident ne sont pas encore connues. Des centaines de milliers de foyers ont été privés d'électricité en Bretagne après la tempête. La tempête Ciaran a également causé trois autres décès en France.,2023-11-05,https://www.lepoint.fr/societe/tempete-ciaran-un-salarie-d-enedis-est-decede-en-bretagne-05-11-2023-2541972_23.php,Le Point,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Tempête Domingos : 9 départements en vigilance orange,"La tempête Domingos a laissé huit départements en vigilance orange pour les crues ce dimanche après-midi. Météo-France a placé en alerte orange les départements de Charente, Charente-Maritime, Corrèze, Dordogne, Pas-de-Calais, Deux-Sèvres, Gironde et Vienne. Des averses et des coups de tonnerre sont prévus sur la côte aquitaine et le littoral de la Manche, tandis que les ondées seront soutenues en Nouvelle-Aquitaine et dans le Massif central. Les rafales de vent ont diminué sur la côte sud-atlantique, mais restent sensibles sur les littoraux.",2023-11-05,https://www.lepoint.fr/societe/tempete-domingos-9-departements-en-vigilance-orange-05-11-2023-2541963_23.php,Le Point,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
A la une de l'actu ce dimanche 5 novembre,"La tempête Domingos a frappé une partie de la France samedi, avec 13 départements en alerte orange aux vents violents, aux inondations et aux fortes vagues. Bien que moins sévère que la tempête Ciaran, Domingos pourrait causer de nouveaux dégâts dans des zones déjà touchées. Les réparations du réseau électrique, toujours en cours, pourraient également être compliquées. Par ailleurs, des travaux de dynamitage sont en cours dans la vallée de la Maurienne pour purger une falaise instable. En Grande-Bretagne, la traditionnelle célébration de l'attentat déjoué de Guy Fawkes a lieu aujourd'hui.",2023-11-04,https://www.lepoint.fr/societe/a-la-une-de-l-actu-ce-dimanche-5-novembre-04-11-2023-2541954_23.php,Le Point,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
"A Lyon, une femme de confession juive poignardée à son domicile","Une femme de confession juive a été poignardée à son domicile à Lyon. Une enquête pour ""tentative de meurtre"" a été ouverte et le parquet évoque la possibilité d'un acte antisémite. La victime n'est pas en danger. Aucune arrestation n'a encore été effectuée. Une croix gammée a été retrouvée sur la porte, mais il est difficile de la dater pour le moment. Depuis le début du conflit entre Israël et le Hamas, 857 actes antisémites ont été recensés en France.",2023-11-04,https://www.lepoint.fr/societe/a-lyon-une-femme-de-confession-juive-poignardee-a-son-domicile-04-11-2023-2541947_23.php,Le Point,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Un avion percute une passerelle de passagers à Orly,"Un avion de la compagnie Corsair a percuté une passerelle de passagers à l'aéroport d'Orly. Heureusement, aucun passager n'était présent sur la passerelle au moment de l'incident. Le moteur de l'avion a été endommagé lors de la collision, retardant le vol Paris Orly-Abidjan de cinq heures. Les raisons de l'accident restent encore inconnues. Personne n'a été blessé.",2023-11-04,https://www.lepoint.fr/societe/video-a-orly-un-avion-percute-une-passerelle-de-passagers-04-11-2023-2541949_23.php,Le Point,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Val-de-Marne : un garçon de 5 ans retrouvé dans un sac poubelle,"Un garçon de 5 ans a été retrouvé dans un sac-poubelle à Choisy-le-Roi, dans le Val-de-Marne. L'enfant, dans un état critique, a été hospitalisé et son pronostic vital est engagé. Un homme, qui a avoué avoir commis le meurtre, a été placé en garde à vue. Des violences sexuelles auraient été infligées à l'enfant. L'enquête a été confiée à la brigade des mineurs de Paris.",2023-11-04,https://www.lepoint.fr/societe/val-de-marne-un-garcon-de-5-ans-retrouve-dans-un-sac-poubelle-04-11-2023-2541924_23.php,Le Point,Oui,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Tempête Ciaran : 260 000 foyers encore privés d'électricité,"260 000 foyers sont toujours privés d'électricité en Bretagne et en Normandie après le passage de la tempête Ciaran, selon Enedis. Le gestionnaire public du réseau de distribution d'électricité a mobilisé 3 400 salariés et prestataires pour rétablir l'électricité dans les foyers touchés. Jusqu'à présent, 78% des clients ont été rétablis, soit plus de 900 000 foyers. Emmanuel Macron a appelé à rétablir la vie normale au plus vite, visant un rétablissement de l'électricité dans 90% des foyers touchés d'ici lundi.",2023-11-04,https://www.lepoint.fr/societe/tempete-ciaran-260-000-foyers-encore-prives-d-electricite-04-11-2023-2541911_23.php,Le Point,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non
Droit augmenté : comment l'IA redéfinit le rôle des acteurs du droit,"L'intelligence artificielle (IA) est en train de redéfinir le rôle des acteurs du droit tels que les avocats et les directions juridiques. Lors du Paris Legal Makers qui aura lieu le 23 novembre 2023, les transformations que l'IA apportera au quotidien des cabinets d'avocats et des juristes d'entreprises seront discutées. Des outils tels que ChatGPT permettent déjà d'automatiser certaines tâches juridiques, tandis que des plateformes d'intelligence juridique facilitent l'accès à la jurisprudence. Cependant, l'IA ne remplacera pas les avocats, car leur expertise humaine et émotionnelle reste irremplaçable.",2023-11-04,https://www.lepoint.fr/societe/droit-augmente-comment-l-ia-redefinit-le-role-des-acteurs-du-droit-04-11-2023-2541909_23.php,Le Point,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Tempête Domingos : dix nouveaux départements placés en vigilance orange,"La tempête Domingos va toucher l'ouest de la France ce week-end, avec des rafales violentes sur la façade atlantique. Météo-France a placé 13 départements en vigilance orange, dont la Vendée, les Deux-Sèvres, la Vienne, la Charente-Maritime, la Charente, la Gironde, les Bouches-du-Rhône, le Var, la Corse-du-Sud, la Haute-Corse, le Pas-de-Calais, la Dordogne et la Corrèze. La tempête Ciaran a déjà causé des dégâts et fait deux victimes en France.",2023-11-04,https://www.lepoint.fr/societe/tempete-domingos-dix-nouveaux-departements-places-en-vigilance-orange-04-11-2023-2541891_23.php,Le Point,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Un homme jugé en avril pour des menaces de mort contre le journaliste Tristan Waleckx,"Un étudiant en médecine sera jugé en avril à Lyon pour avoir proféré des menaces de mort à l'encontre du journaliste Tristan Waleckx, présentateur de l'émission ""Complément d'enquête"". Les menaces ont été proférées après la diffusion d'un reportage sur le groupe terroriste Hamas. Le jeune homme de 20 ans, sans antécédent judiciaire, a été placé sous contrôle judiciaire en attendant son jugement. Il aurait contacté le journaliste à deux reprises par téléphone, lui indiquant qu'il subirait le même sort que les actes commis par le Hamas.",2023-11-03,https://www.lepoint.fr/societe/un-homme-juge-en-avril-pour-des-menaces-de-mort-contre-le-journaliste-tristan-waleckx-03-11-2023-2541868_23.php,Le Point,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
A la une de l'actu ce samedi 4 novembre,"Plusieurs rassemblements pro-palestiniens et pour la paix au Proche-Orient sont prévus ce samedi en France, notamment à Paris. Certaines manifestations ont été interdites par les préfectures, mais celle prévue à Paris a été autorisée. Par ailleurs, une nouvelle dépression, nommée Domingos, balayera la façade ouest de la France à partir de samedi, provoquant de forts vents. Enfin, le stade Vélodrome accueillera un match entre Marseille et Lille, avec des mesures de sécurité renforcées et l'interdiction du déplacement des supporters lillois.",2023-11-03,https://www.lepoint.fr/societe/a-la-une-de-l-actu-ce-samedi-4-novembre-03-11-2023-2541873_23.php,Le Point,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Prime de Noël : voici qui pourra en bénéficier,"La prime de Noël sera versée aux ménages les plus modestes cette année, a confirmé le ministère des Solidarités et des Familles. Plus de 2 millions de Français pourront en bénéficier, sans aucune démarche de leur part. Le montant de la prime varie en fonction de la situation familiale, allant de 152,45 euros pour une personne célibataire sans enfant à 442,10 euros pour un couple avec quatre enfants. Les virements seront effectués d'ici à la mi-décembre par la Caisse d'allocations familiales, la Mutualité sociale agricole ou Pôle emploi.",2023-11-03,https://www.lepoint.fr/societe/prime-de-noel-voici-qui-pourra-en-beneficier-03-11-2023-2541860_23.php,Le Point,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Retour dans le trou à rats de la prison de Seysses,"Un député a effectué une visite impromptue de la prison de Seysses, près de deux ans après un rapport alarmant du contrôleur général. L'établissement, conçu pour 600 places, compte actuellement 1 144 prisonniers. Des rats sont présents dans les cours de promenade et une campagne de dératisation est prévue. Les conditions de vie des détenus sont préoccupantes, avec des cellules surpeuplées et des matelas au sol. Le personnel pénitentiaire est également en sous-effectif. Le directeur de la prison a proposé au député de revenir visiter d'autres quartiers.",2023-11-03,https://www.lepoint.fr/societe/retour-dans-le-trou-a-rats-de-la-prison-de-seysses-03-11-2023-2541857_23.php,Le Point,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non
Métiers en tension à Saint-Nazaire : le port ne peut pas se passer des ouvriers étrangers,"Les chantiers navals de Saint-Nazaire dépendent fortement des travailleurs étrangers, qui représentent environ un quart de leurs effectifs. Ces ouvriers détachés, venus principalement des pays de l'Est, viennent souder et ferrailler sur les bateaux pendant quelques semaines ou mois avant de rentrer chez eux. Sans eux, les navires ne pourraient pas être construits. La pénurie de main-d'œuvre dans ce secteur en tension pousse le gouvernement à faciliter leur régularisation. Cependant, cette situation suscite des inquiétudes quant à l'impact sur l'emploi des Français.",2023-11-03,https://www.lepoint.fr/societe/metiers-en-tension-a-saint-nazaire-le-port-ne-peut-pas-se-passer-des-ouvriers-etrangers-03-11-2023-2541855_23.php,Le Point,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Oui,Non,Non
Tempête Ciara : Macron promet l'état de catastrophe naturelle,"Le président Emmanuel Macron s'est rendu en Bretagne après le passage de la tempête Ciaran et a promis de déclarer l'état de catastrophe naturelle ""partout où on pourra le faire"". Il a salué la gestion efficace de la situation et a souligné l'importance de rétablir rapidement la vie normale. Macron a également été interpellé par un jeune sur son inaction climatique. La Bretagne a été durement touchée par des vents violents, causant des coupures d'électricité et des dégâts importants.",2023-11-03,https://www.lepoint.fr/societe/tempete-ciaran-macron-promet-l-etat-de-catastrophe-naturelle-03-11-2023-2541843_23.php,Le Point,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
L'art de l'intégration pour ne pas vivre éternellement comme un migrant,"L'écrivain d'origine syrienne Omar Youssef Souleimane témoigne de l'expérience de l'intégration, affirmant qu'il est nécessaire de s'adapter à son nouvel environnement pour ne pas vivre éternellement comme un migrant. Il souligne que pour s'intégrer en France, il faut être attaché au pays et à ses principes, et que cela implique souvent de perdre une partie de son identité d'origine. Souleimane met en avant l'importance de l'engagement et de l'attachement aux valeurs françaises dans le processus d'intégration.",2023-11-03,https://www.lepoint.fr/societe/l-art-de-l-integration-pour-ne-pas-vivre-eternellement-comme-un-migrant-03-11-2023-2541836_23.php,Le Point,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Comment TikTok fait du film 'Le Consentement' un succès en salle,"Le film ""Le Consentement"", adapté du livre de Vanessa Springora, connaît un succès inattendu grâce à TikTok. La bande-annonce du film est devenue une tendance sur le réseau social, générant plus de 26 millions de vues. Les utilisateurs de TikTok se filment avant et après avoir vu le film, partageant ainsi leurs réactions. Cette tendance a contribué à augmenter la fréquentation du film en salle, qui a déjà dépassé les 160 000 entrées. Les spectateurs soulignent l'importance de sensibiliser aux questions de consentement et d'emprise abordées dans le film.",2023-11-03,https://www.lepoint.fr/societe/comment-tiktok-fait-du-film-le-consentement-un-succes-en-salle-03-11-2023-2541811_23.php,Le Point,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
"À Paris, ouverture du procès d'un Français pour viols et agressions sexuelles sur des mineurs malaisiens",Un Français de 56 ans est jugé à Paris pour des viols et agressions sexuelles sur des mineurs en Malaisie. L'accusé aurait commis ces crimes sur des enfants âgés de 10 à 17 ans entre 2014 et 2017. Il est également soupçonné d'avoir abusé d'une cinquantaine de mineurs dans plusieurs pays asiatiques. Les enquêteurs ont saisi plus de 174 000 photos et vidéos compromettantes. Le procès se déroule devant la cour criminelle départementale de Paris.,2023-11-03,https://www.lepoint.fr/societe/a-paris-ouverture-du-proces-d-un-francais-pour-viols-et-agressions-sexuelles-sur-des-mineurs-malaisiens-03-11-2023-2541805_23.php,Le Point,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Apologie du terrorisme : un imam de Beaucaire condamné à de la prison avec sursis,"Un imam de Beaucaire a été condamné à huit mois de prison avec sursis pour apologie du terrorisme. Yassin E., imam de la mosquée de Beaucaire, avait publié sur Facebook un hadith appelant à tuer les Juifs. Il a également été interdit d'exercer la fonction d'imam pendant un an et inscrit sur le fichier des auteurs d'infractions terroristes. Les faits ont été signalés à la justice par le préfet du Gard. L'imam affirme avoir voulu supprimer sa publication dès qu'il a vu qu'elle était ambiguë.",2023-11-02,https://www.lepoint.fr/societe/apologie-du-terrorisme-un-imam-de-beaucaire-condamne-a-de-la-prison-avec-sursis-02-11-2023-2541683_23.php,Le Point,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Tempête Ciaran : six départements maintenus en vigilance orange,"La tempête Ciaran continue de sévir en France avec cinq départements maintenus en vigilance orange. Des alertes sont en place en Corse-du-Sud, en Haute-Corse, dans les Landes, ainsi que pour les crues en Corse-du-Sud et dans le Pas-de-Calais. Des pluies intenses et durables sont prévues dans le sud de l'Aquitaine et l'ouest de la Corse, tandis que des averses fréquentes sont attendues au nord de l'embouchure de la Seine. Des rafales de vent atteignant jusqu'à 140 km/h sont également prévues en Corse. Au moins dix personnes sont décédées en Europe à cause de cette tempête.",2023-11-03,https://www.lepoint.fr/societe/tempete-ciaran-six-departements-maintenus-en-vigilance-orange-03-11-2023-2541743_23.php,Le Point,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
Médine bientôt jugé pour s'être filmé lançant des fléchettes sur des affiches d'élus,"Le rappeur Médine sera bientôt jugé pour avoir lancé des fléchettes sur des affiches d'élus de droite et d'extrême droite. Refusant la procédure de reconnaissance préalable de culpabilité, il devra comparaître devant le tribunal correctionnel pour provocation à la commission d'un crime ou d'un délit. Les élus visés, Bernard Carayon et Frédéric Cabrolier, avaient porté plainte contre Médine suite à des propos antisémites tenus à leur encontre. Le rappeur avait réalisé cette vidéo en réponse à leur opposition à son concert à Albi.",2023-11-02,https://www.lepoint.fr/societe/medine-bientot-juge-pour-s-etre-filme-lancant-des-flechettes-sur-des-affiches-d-elus-02-11-2023-2541725_23.php,Le Point,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non
